No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
4421,LAPTOP TERBARU 2 IN 1 DELL LATITUDE 3310 CORE i5-8265U RAM 8GB SSD 512GB TOUCHSCREEN,3200000,4.9,14 terjual,Sparta_Electronic,Jakarta Barat
4422,Laptop Acer Aspire Core i5-7200U Gen 7th Double Vga,3200000,5.0,4 terjual,MR_elektronik,Jakarta Barat
4423,LAPTOP GAMING LENOVO THINKPAD P50 P51S P52S P70 W540 NVIDIA QUADRO CORE i7 RAM 16GB SSD 256GB  NVIDIA QUADRO BERGARANSI,3200000,Tidak Ada Rating,Tidak Ada Data,Speed Laptop Store,Jakarta Barat
4424,Laptop Dell Lattitude 7414/7480 Rugged Extreme i5 GEN6 2nd Original,3200000,5.0,1 terjual,Speed Laptop Store,Jakarta Barat
4425,Laptop dell latitude 3400 core i7 Gen 8 RAM 16GB/1TB FREE TAS+MOUSE,3200000,5.0,8 terjual,Marvin_electronic,Jakarta Barat
4426,"Laptop Acer Aspire E5-476G, Core i5-8250U, Gen 8th, Double Vga, 4/1Tb",3200000,5.0,1 terjual,dr.com komputer,Jakarta Barat
4427,Lenovo Thinkpad W541 Core i7 Dual VGA,3200000,Tidak Ada Rating,1 terjual,Diva_Laptop,Jakarta Barat
4428,"Laptop Murah Asus X450JB, core i7 4720HQ 8/1tb, Balck",3200000,4.7,30+ terjual,dr.com komputer,Jakarta Barat
4429,Lenovo ThinkPad T495 AMD Ryzen 5 PRO Ryzen 7 PRO,3200000,5.0,3 terjual,jakskal_store,Tangerang Selatan
4430,Laptop Lenovo ThinkPad X1 Carbon Core i5/i7 Slim IPS FHD No Minus,3200000,5.0,19 terjual,Gitech Laptop,Bandung
4431,Laptop Lenovo Thinkpad X1 Carbon 6th i7 8650u 16GB SSD FHD Touchscreen,3200000,4.6,20 terjual,Hosea Timoho29,Yogyakarta
4432,LENOVO IDEAPAD SLIM 3 [CELERON N4020] 4GB RAM | 512GB SSD | 14INCH,3199000,5.0,40+ terjual,SPACECOMP ID,Jakarta Barat
4433,LENOVO Thinkpad X270 X280 Intel Core i7 7500U RAM16GB SSD1TB 12.5'' HD Windows 11,3199000,4.9,18 terjual,SKYTECH STORE.ID,Jakarta Pusat
4434,Lenovo MIIX 520 i5 / i7 Gen8 2in1 Touchsreen RAM 8GB SSD 256GB,3199000,Tidak Ada Rating,5 terjual,SAMSAN_Tech,Jakarta Barat
4435,Lenovo MIIX 520 i7 / i5 Gen8 2in1 Touchsreen RAM 8GB SSD 256GB,3199000,5.0,12 terjual,Electro_Com,Jakarta Barat
4436,Laptop Lenovo Thinkpad X270 Core i7 Gen 7 - 8GB - SSD 256GB - HDMI,3199000,5.0,13 terjual,Computer Center 1,Jakarta Pusat
4437,LAPTOP LENOVO THINKPAD T480 i7 GEN8 RAM 32 GB SSD 512 GB TOUCHSCREEN,3190000,5.0,30+ terjual,Raja Murah Pedia,Jakarta Utara
4438,AXIOO HYPE 1 N4020 8GB 128GB W11 14.0,3167010,5.0,19 terjual,Agres ID Surabaya,Surabaya
4439,ULTRABOOK DELL 7370 Core M7-6y75 TOUCH / 8GB RAM / SSD 256GB / 4K UHD,3150000,Tidak Ada Rating,1 terjual,Ari speed comp,Bogor
4440,"LAPTOP LENOVO THINKPAD T580 NUMERIC : Ci5 GEN 8TH/ 32GB/ 512GB/ 15.6""",3150000,4.9,21 terjual,Computer Murah 2021,Jakarta Pusat
4441,HP EliteBook 830 G5/G6 Intel Core i5/i7 8Th/Back lite Keyboard,3150000,5.0,12 terjual,United Technology,Jakarta Pusat
4442,All IN ONE AIO DELL CORE I3 7100 RAM DDR4 4 GB SSD 128 GB LAYAR 20 INC,3150000,Tidak Ada Rating,1 terjual,NG computer,Jakarta Pusat
4443,Dell Latitude 5300/ 5300 2 in 1| Core i5/ i7 Gen 8| Murah Mantap,3150000,5.0,19 terjual,Brankas Laptop,Jakarta Pusat
4444,Lenovo Thinkpad X280 core i7 8650 - 8GB - WIN 10 ORI,3150000,4.8,250+ terjual,Mr Hanzo,Jakarta Pusat
4445,Laptop Lenovo Ideapad Slim 3 intel N4020 - 4GB / 256GB SSD - Win10,3150000,5.0,80+ terjual,GEMINI-ELEKTRONIK,Kab. Tangerang
4446,Laptop Acer TravelMate P449 Core i5 Gen 8 - RAM 16GB - SSD 1TB - 14 inch - ORI,3150000,5.0,1 terjual,JUALANDOK Computer,Jakarta Pusat
4447,Laptop Lenovo Thinkpad  T490 | T490s| T480s| T480|  Core i7 Ram 16gb SSD 256gb Bergaransi,3150000,5.0,4 terjual,Hosea Timoho29,Yogyakarta
